hypothesis,reference,audio_paths,accent,sample_id,pred_clean,ref_clean,wer,hypothesis_clean,reference_clean
chikopi was the home of te defunt aa and usmet park,Chicopee was the home of the defunct Idlehour amusement park.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_20712866.wav,"india and south asia (india, pakistan, sri lanka)",57a90da2-7298-4df4-b8e7-0d3d6acd56ae,chikopi was the home of te defunt aa and usmet park,chicopee was the home of the defunct idlehour amusement park.,0.7,chikopi was the home of te defunt aa and usmet park,chicopee was the home of the defunct idlehour amusement park
on procedure i think the senator who has just spoken before me has said it. but what i wanted to bring forward is is what the chair said about the statements that we mad yesterday as,On procedure I think the senator who has just spoken before me has said it. But what I want them to  forward is what the chair Said about the statements that we made yesterday,/data4/data/intron/770f58e0376f11ed93df0603bdd00153/605d399a377011ed93df0603bdd00153.wav,kenyan english,73c1fd5a-2aff-4d54-a13e-8b510f4f1395,on procedure i think the senator who has just spoken before me has said it. but what i wanted to bring forward is is what the chair said about the statements that we mad yesterday as,on procedure i think the senator who has just spoken before me has said it. but what i want them to forward is what the chair said about the statements that we made yesterday,0.17647058823529413,on procedure i think the senator who has just spoken before me has said it but what i wanted to bring forward is is what the chair said about the statements that we mad yesterday as,on procedure i think the senator who has just spoken before me has said it but what i want them to forward is what the chair said about the statements that we made yesterday
a testamentary air one appointed by,A testamentary heir: one appointed by the will of the decedent.,/data4/data/intron/d83e872b-0ab7-42ea-99bc-93758275589f/e5cdc24afb5692e35ebe89bf0e3850f3.wav,yoruba,42f079ca-ecb2-4c76-8f54-fb3746b2c72c,a testamentary air one appointed by,a testamentary heir: one appointed by the will of the decedent.,0.5454545454545454,a testamentary air one appointed by,a testamentary heir one appointed by the will of the decedent
"and you know increasingly, we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give. including what government has to do a abc you know thethe registerar of political parties all these people have","And you know increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give including what government has to do IEBC, you know the Registrar of political parties, all these people have",/data4/data/intron/d126c560376111ed86640603bdd00153/b7dbab1a376211ed86640603bdd00153.wav,kenyan english,d35eb816-b377-4345-88f9-fe2a6398a376,"and you know increasingly, we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give. including what government has to do a abc you know thethe registerar of political parties all these people have","and you know increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give including what government has to do iebc, you know the registrar of political parties, all these people have",0.15555555555555556,and you know increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give including what government has to do a abc you know thethe registerar of political parties all these people have,and you know increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give including what government has to do iebc you know the registrar of political parties all these people have
my knees runs performerse market,My niece runs a farmer's market.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_17815402.wav,"india and south asia (india, pakistan, sri lanka)",6a6a99df-4996-4216-92dc-806f82d57e55,my knees runs performerse market,my niece runs a farmer's market.,0.6666666666666666,my knees runs performerse market,my niece runs a farmer is market
investment and development of badly needed instructne a statement by the speaker of the house of representatives repeidajabiamila at the public hearing on a bill for a,"Investment and development of badly needed infrastructure, a statement by the speaker of the house of representatives Redpeni Abimajja at the public hearing on the bill",/data4/data/intron/2df4766a216a11edbed106dca2a745cd/db89566a216a11edbed106dca2a745cd.wav,luganda,8f57c714-355f-4fe4-abe9-73c332055ed1,investment and development of badly needed instructne a statement by the speaker of the house of representatives repeidajabiamila at the public hearing on a bill for a,"investment and development of badly needed infrastructure, a statement by the speaker of the house of representatives redpeni abimajja at the public hearing on the bill",0.23076923076923078,investment and development of badly needed instructne a statement by the speaker of the house of representatives repeidajabiamila at the public hearing on a bill for a,investment and development of badly needed infrastructure a statement by the speaker of the house of representatives redpeni abimajja at the public hearing on the bill
most of the passengers had been trapped in the cabins,Most of the passengers had been trapped in their cabins.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_27817507.wav,unknown,f9117254-1502-493e-8064-35803be811be,most of the passengers had been trapped in the cabins,most of the passengers had been trapped in their cabins.,0.2,most of the passengers had been trapped in the cabins,most of the passengers had been trapped in their cabins
"you know, i think you hade the wrong place. simply because we are here to be the voice for the voiceless. kenya is at this pathetic stech  stage because our leaders in the past","You know, I think you are the wrong place. Simply because we are here to be the voice for the voiceless. Kenya is at this pathetic stage stage because our leaders in the past.",/data4/data/intron/596e3be4376511ed90f30603bdd00153/a71b8634376611ed90f30603bdd00153.wav,kenyan english,45af9ebe-f42a-4429-8d1f-de90c85bbd54,"you know, i think you hade the wrong place. simply because we are here to be the voice for the voiceless. kenya is at this pathetic stech stage because our leaders in the past","you know, i think you are the wrong place. simply because we are here to be the voice for the voiceless. kenya is at this pathetic stage stage because our leaders in the past.",0.08823529411764706,you know i think you hade the wrong place simply because we are here to be the voice for the voiceless kenya is at this pathetic stech stage because our leaders in the past,you know i think you are the wrong place simply because we are here to be the voice for the voiceless kenya is at this pathetic stage stage because our leaders in the past
securities that are ildequate in the market are classified as hald.,Securities that are illiquid in the market are classified as hard.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_28948994.wav,"india and south asia (india, pakistan, sri lanka)",1963d0d2-e290-4372-9bfa-2e4e6e059d57,securities that are ildequate in the market are classified as hald.,securities that are illiquid in the market are classified as hard.,0.18181818181818182,securities that are ildequate in the market are classified as hald,securities that are illiquid in the market are classified as hard
"however, lewisen's long-term project, the publication of a dictionary was never completed.","However, Lewis's long-term project, the publication of a dictionary, was never completed.",/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_20987661.wav,united states english,453aa05e-16de-478d-aa87-0c92bf4c217b,"however, lewisen's long-term project, the publication of a dictionary was never completed.","however, lewis's long-term project, the publication of a dictionary, was never completed.",0.16666666666666666,however lewisen is long term project the publication of a dictionary was never completed,however lewis is long term project the publication of a dictionary was never completed
