audio_path,reference,hypothesis,source,pred_clean,ref_clean
/data/afrispeech/cbd575c960ada9a55bcae24df8a3b27251bdd6fc124884680ece4e13bcd0416c/27a83595-3d3f-4a6b-b909-7b8f364d736b/7cb8dfb3105e8815c510cdbcb22cff29.wav,"Protection of the host immune mechanism mightincrease the efcacy of other drugs that inhibit viralreplication.
",protection of the host immune mechanism might increase the efficacy of other drugs that inhibit viral replication.,Afrispeech,protection of the host immune mechanism might increase the efficacy of other drugs that inhibit viral replication,protection of the host immune mechanism mightincrease the efcacy of other drugs that inhibit viralreplication
/data/afrispeech/cbd575c960ada9a55bcae24df8a3b27251bdd6fc124884680ece4e13bcd0416c/80581f4f-9e72-48fb-b4c0-22e6972dbff3/95ddccb7b9160663e9c7d36d3b275120.wav,"Ask the patient about allergies totape and skin antiseptics.
",ask the patients about allergies to tape and skin antiseptics,Afrispeech,ask the patients about allergies to tape and skin antiseptics,ask the patient about allergies totape and skin antiseptics
/data/afrispeech/cbd575c960ada9a55bcae24df8a3b27251bdd6fc124884680ece4e13bcd0416c/13f2d282-bda1-4bc3-83b8-7a0d06e5eda0/933137f330d228adb57bdae0c9020858.wav,"The short, mucus-secreting cells between the ciliated cells show bumpy microvilli on their surfaces.",the short macrosecrating cells between the ciliated cells show bumpy microvilli on their surfaces,Afrispeech,the short macrosecrating cells between the ciliated cells show bumpy microvilli on their surfaces,the short mucus secreting cells between the ciliated cells show bumpy microvilli on their surfaces
/data/afrispeech/cbd575c960ada9a55bcae24df8a3b27251bdd6fc124884680ece4e13bcd0416c/99f6019b-4505-4c60-a462-79b0eb6e689a/2cb25e2dde5b74994eb689d1443c4a99.wav,Aspiration is terminated when aspirated material or blood becomes visible at the base or hub of the needle.,6 aspiration is terminated when aspirated material or blood becomes visible at the base or hub of the needle.,Afrispeech,6 aspiration is terminated when aspirated material or blood becomes visible at the base or hub of the needle,aspiration is terminated when aspirated material or blood becomes visible at the base or hub of the needle
/data/afrispeech/cbd575c960ada9a55bcae24df8a3b27251bdd6fc124884680ece4e13bcd0416c/55d0425c-bd13-4a76-a318-4823e6778eac/c69625cba1fb6933b4c2706ec5cab06d.wav,The community members called his mother who was at work and she called me to check on Gift.,the community members called his mother who was at work and she called me to check on gift.,Afrispeech,the community members called his mother who was at work and she called me to check on gift,the community members called his mother who was at work and she called me to check on gift
/data/afrispeech/cbd575c960ada9a55bcae24df8a3b27251bdd6fc124884680ece4e13bcd0416c/87603be3-0b58-4176-b897-65995e90eb22/1fb8c8219649ee147ab891dab0f9bcf8.wav,"Bilateral ear discharge of 3 days duration and fever of 3 days duration. Bilateral ear discharge was first noticed 3 days ago. Fumuanve Cambah has had ear syringing in the past
",bilateral ear discharge of 3 days duration and fever of 3 days duration. bilateral ear discharge was first noticed 3 days ago. fumu anwe kamba has had ear syringing in the past,Afrispeech,bilateral ear discharge of 3 days duration and fever of 3 days duration bilateral ear discharge was first noticed 3 days ago fumu anwe kamba has had ear syringing in the past,bilateral ear discharge of 3 days duration and fever of 3 days duration bilateral ear discharge was first noticed 3 days ago fumuanve cambah has had ear syringing in the past
/data/afrispeech/cbd575c960ada9a55bcae24df8a3b27251bdd6fc124884680ece4e13bcd0416c/91e73902-da52-4922-af16-c9dc81b41515/ecbe70d0ccf31afdc4ea85c145f464b5.wav,Tellurium is an unreactive element.,tellurium is an unreactive element,Afrispeech,tellurium is an unreactive element,tellurium is an unreactive element
/data/afrispeech/cbd575c960ada9a55bcae24df8a3b27251bdd6fc124884680ece4e13bcd0416c/6d2d6ff9-8dc9-48f2-98dc-1a9d47701870/6f610be4e45911a121e665ee44781f37.wav,"Afro-pop star Adekunle Gold has made his mark as an uber-stylish musician like no other and his latest look during the Catch Me If You Can North American tour is worth bookmarking.
",afro pop star adria conlegold has made his mark as an uber stylish musician like no other and his latest look during the catch me if you can north american tour is worth bookmarking.,Afrispeech,afro pop star adria conlegold has made his mark as an uber stylish musician like no other and his latest look during the catch me if you can north american tour is worth bookmarking,afro pop star adekunle gold has made his mark as an uber stylish musician like no other and his latest look during the catch me if you can north american tour is worth bookmarking
/data/afrispeech/cbd575c960ada9a55bcae24df8a3b27251bdd6fc124884680ece4e13bcd0416c/f2c988d5-f9a5-4974-a95c-9cd2ba9a0dc6/f60cff2d11f7481708321ce6a030191f.wav,"It has unique themes of the power of ones voice to transform society, gender-based violence, and mental health, among others.
",it has unique themes of the power of one s voice to transform society gender based violence and mental health among others.,Afrispeech,it has unique themes of the power of one s voice to transform society gender based violence and mental health among others,it has unique themes of the power of ones voice to transform society gender based violence and mental health among others
/data/afrispeech/cbd575c960ada9a55bcae24df8a3b27251bdd6fc124884680ece4e13bcd0416c/8c4a0f52-88b6-4813-8f4b-9eee7af428cc/c0015f21168d054433f84310a5717e9e.wav,"It is 154 meters above sea level.
",it is 154 meters above sea level,Afrispeech,it is 154 meters above sea level,it is 154 meters above sea level
